Index,ID,SSP_NUM,FID,SentrixBarcode_A,SentrixPosition_A,Sample_Plate,Sample_Well,Sample_Group,Gender,Gender2,Replicate,Parent1,Parent2,Parent1,Parent2,Phenotype,N_MISS_Loci,N_GENO,F_MISS,Call_Rate,SIRE,DAM,SEX,BIRTHDATE,DEATHDATE,AGE_DAYS,N_OFFSPRING,N_OFFSPRING_1YR,PERCENT_OFF_1YR,F_PEDIGRAPH,Founder-5,Founder-11,Founder-209,Founder-210,Founder-293,Founder-294,Founder-WILD1,MB,AR,GR,F-Genes,Kinship
21,5500696005_R05C01,732,0,5500696005,R05C01,WG0101910-MSA3,E04,WOLF,M,1,0,5511344025_R04C02,0,593,0,0.666666667,1448,172114,0.008413,0.991587,593,613,M,4/13/02,0,3949,15,10,0.666666667,0.132812,0.3125,0.1719,0.1563,0.0938,0.0313,0.0938,0.1407,0.6251,0.2501,0.1251,0.1328,0.1477
22,5500696005_R05C02,922,MB,5500696005,R05C02,WG0101910-MSA3,C05,WOLF,M,1,0,5500696014_R03C02,5511344025_R01C02,904,511,-9,1349,172114,0.007838,0.992162,904,511,M,5/15/05,11/16/08,1281,0,0,0,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1705
23,5500696005_R06C01,635,0,5500696005,R06C01,WG0101910-MSA3,F04,WOLF,F,2,0,5511344027_R03C01,0,521,0,0.583333333,1395,172104,0.008106,0.991894,507,521,F,4/30/00,0,4662,12,7,0.583333333,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1664
24,5500696005_R06C02,1039,WILD,5500696005,R06C02,WG0101910-MSA3,D05,WOLF,M,1,0,5511344026_R06C01,0,667,0,-9,1369,172114,0.007954,0.992046,512,667,M,4/15/06,0,2486,0,0,0,0.0820312,0.3125,0.1875,0.086,0.0391,0.0625,0.1875,0.125,0.625,0.1251,0.25,0.082,0.1462
25,5500696010_R01C01,1028,0,5500696010,R01C01,WG0101910-MSA3,E02,WOLF,F,2,0,5500696005_R02C01,0,806,0,-9,1452,172104,0.008437,0.991563,806,838,F,4/15/06,10/3/09,1267,0,0,0,0.136475,0.25,0.1407,0.1641,0.086,0.0625,0.1875,0.1094,0.5001,0.2501,0.25,0.1365,0.1392
26,5500696010_R01C02,1118,WILDMB,5500696010,R01C02,WG0101910-MSA3,C03,WOLF,F,2,0,5500696010_R05C02,0,562,0,-9,1344,172104,0.007809,0.992191,583,562,F,4/15/07,0,2121,0,0,0,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1716
27,5500696010_R02C01,1114,MB,5500696010,R02C01,WG0101910-MSA3,F02,WOLF,M,1,0,0,0,0,0,0.333333333,1594,172114,0.009261,0.990739,578,1027,M,7/1/05,6/23/10,1818,6,2,0.333333333,0.269531,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2696,0.1752
28,5500696010_R02C02,624,MB,5500696010,R02C02,WG0101910-MSA3,D03,WOLF,F,2,0,0,0,0,0,0.5,1480,172104,0.008599,0.991401,208,191,F,5/15/99,0,5013,4,2,0.5,0.25,0.5,0.25,0,0,0,0,0.25,1,0,0,0.25,0.1733
29,5500696010_R03C01,569,0,5500696010,R03C01,WG0101910-MSA3,G02,WOLF,F,2,0,5511344026_R03C01,0,426,0,0.53125,1642,172104,0.009541,0.990459,141,426,F,5/5/98,0,5388,32,17,0.53125,0,0.25,0.1563,0,0,0.125,0.375,0.0938,0.5001,0,0.5,0,0.155
30,5500696010_R03C02,649,0,5500696010,R03C02,WG0101910-MSA3,E03,WOLF,F,2,0,0,0,0,0,-9,1415,172104,0.008222,0.991778,141,570,M,5/8/00,5/8/00,0,0,0,0,0.296875,0.375,0.2344,0,0,0.0625,0.1875,0.1407,0.7501,0,0.25,0.2969,0.1604
31,5500696010_R04C01,593,0,5500696010,R04C01,WG0101910-MSA3,H02,WOLF,M,1,5511344025_R04C02,5511344029_R06C02,5511344027_R04C01,484,518,-9,11112,172114,0.06456,0.93544,484,518,M,5/1/99,6/28/03,1519,5,5,1,0.101562,0.375,0.2188,0,0,0.0625,0.1875,0.1563,0.7501,0,0.25,0.1016,0.164
32,5500696010_R04C02,1115,WILD,5500696010,R04C02,WG0101910-MSA3,F03,WOLF,F,2,0,5500696005_R01C02,0,861,0,-9,1623,172104,0.00943,0.99057,871,861,F,7/1/06,0,2409,0,0,0,0.135254,0.3438,0.1875,0.1212,0.0665,0.0313,0.0938,0.1563,0.6876,0.1877,0.1251,0.1353,0.1488
33,5500696010_R05C01,903,MB,5500696010,R05C01,WG0101910-MSA3,A03,WOLF,F,2,0,5500696010_R02C02,0,624,0,0.5,1747,172104,0.01015,0.98985,584,624,F,7/1/03,0,3505,10,5,0.5,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1721
34,5500696010_R05C02,562,MB,5500696010,R05C02,WG0101910-MSA3,G03,WOLF,F,2,0,0,0,0,0,1,1775,172104,0.01031,0.98969,208,191,F,5/5/98,0,5388,7,7,1,0.25,0.5,0.25,0,0,0,0,0.25,1,0,0,0.25,0.1736
35,5500696010_R06C01,1161,WILD,5500696010,R06C01,WG0101910-MSA3,B03,WOLF,M,1,0,5511344027_R01C01,5500696004_R05C02,1038,1111,-9,1787,172114,0.01038,0.98962,1038,1111,M,4/15/08,0,1755,0,0,0,0.158691,0.3438,0.1954,0.043,0.0196,0.0625,0.1875,0.1485,0.6877,0.0626,0.25,0.1588,0.1563
36,5500696010_R06C02,990,WILD,5500696010,R06C02,WG0101910-MSA3,H03,WOLF,M,1,0,5511344027_R03C01,0,521,0,1,1881,172114,0.01093,0.98907,507,521,M,4/15/04,11/23/09,2048,1,1,1,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1654
37,5500696014_R01C01,1008,WILD,5500696014,R01C01,WG0101910-MSA3,E05,WOLF,M,1,0,5500696005_R05C01,5500696014_R02C01,732,797,-9,1683,172114,0.009778,0.990222,732,797,M,7/1/05,8/6/08,1132,0,0,0,0.153809,0.4063,0.211,0.0782,0.0469,0.0157,0.0469,0.1954,0.8127,0.1251,0.0626,0.1539,0.1612
38,5500696014_R01C02,836,0,5500696014,R01C02,WG0101910-MSA3,C06,WOLF,F,2,0,5500696010_R03C01,0,569,0,-9,21609,172104,0.1256,0.8744,612,569,F,5/19/03,1/20/09,2073,0,0,0,0.0585938,0.25,0.1407,0.1563,0.0938,0.0625,0.1875,0.1094,0.5001,0.2501,0.25,0.0586,0.1418
39,5500696014_R02C01,797,MB,5500696014,R02C01,WG0101910-MSA3,F05,WOLF,F,2,0,5511344025_R01C02,0,511,0,0.75,1387,172104,0.008059,0.991941,509,511,F,5/15/02,0,3917,20,15,0.75,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1743
40,5500696014_R02C02,574,0,5500696014,R02C02,WG0101910-MSA3,D06,WOLF,M,1,0,5511344029_R04C02,0,258,0,1,1518,172114,0.00882,0.99118,258,98,M,5/7/98,7/18/04,2264,9,9,1,0,0.25,0.125,0.3125,0.1875,0,0,0.125,0.5,0.5,0,0,0.1264
41,5500696014_R03C01,1044,WILD,5500696014,R03C01,WG0101910-MSA3,G05,WOLF,M,1,0,5500696005_R03C01,0,795,0,0.833333333,1448,172114,0.008413,0.991587,795,758,M,4/15/06,6/18/10,1525,6,5,0.833333333,0.202148,0.4375,0.2266,0,0,0.0313,0.0938,0.211,0.8751,0,0.1251,0.2022,0.1713
42,5500696014_R03C02,904,MB,5500696014,R03C02,WG0101910-MSA3,E06,WOLF,M,1,0,5500696010_R05C02,0,562,0,0.833333333,1482,172114,0.008611,0.991389,583,562,M,7/1/02,0,3870,6,5,0.833333333,0.289062,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2891,0.1721
43,5500696014_R04C01,1106,WILD,5500696014,R04C01,WG0101910-MSA3,H05,WOLF,F,2,0,5511344026_R06C01,0,667,0,-9,1447,172104,0.008408,0.991592,863,667,F,4/15/07,10/12/10,1276,0,0,0,0.1875,0.375,0.1875,0.1641,0.086,0,0,0.1875,0.75,0.2501,0,0.1876,0.1479
44,5500696014_R04C02,730,0,5500696014,R04C02,WG0101910-MSA3,F06,WOLF,M,1,0,5511344025_R04C02,0,593,0,1,1917,172114,0.01114,0.98886,593,613,M,4/13/02,0,3949,7,7,1,0.132812,0.3125,0.1719,0.1563,0.0938,0.0313,0.0938,0.1407,0.6251,0.2501,0.1251,0.1328,0.1469
45,5500696014_R05C01,520,0,5500696014,R05C01,WG0101910-MSA3,A06,WOLF,M,1,0,5511344026_R03C01,0,426,0,0.823529412,1572,172114,0.009133,0.990867,141,426,M,5/3/97,0,5755,17,14,0.823529412,0,0.25,0.1563,0,0,0.125,0.375,0.0938,0.5001,0,0.5,0,0.1528
46,5500696014_R05C02,547,MB,5500696014,R05C02,WG0101910-MSA3,G06,WOLF,F,2,5500696004_R03C02,5511344025_R02C01,0,72,0,-9,1540,172104,0.008948,0.991052,72,58,F,5/2/98,1/13/09,3909,20,15,0.75,0.1875,0.5,0.3125,0,0,0,0,0.1875,1,0,0,0.1875,0.1608
47,5500696014_R06C01,1042,WILD,5500696014,R06C01,WG0101910-MSA3,B06,WOLF,F,2,0,5511344027_R03C01,0,521,0,1,1596,172104,0.009273,0.990727,507,521,F,4/15/06,0,2486,1,1,1,0.123047,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1231,0.1654
48,5500696014_R06C02,66,MB,5500696014,R06C02,WG0101910-MSA3,H06,WOLF,M,1,5511344026_R01C02,0,0,0,0,1,2489,172114,0.01446,0.98554,2,13,M,5/1/89,3/11/04,5428,11,11,1,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1618
49,5511344025_R01C01,37,MB,5511344025,R01C01,WG0041091-MSA3,E02,WOLF,F,2,0,5511344027_R03C02,0,10,0,0.85,780,172104,0.004532,0.995468,10,14,F,4/15/84,6/6/00,5896,20,17,0.85,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1624
50,5511344025_R01C02,511,MB,5511344025,R01C02,WG0041091-MSA3,C03,WOLF,F,2,0,0,0,0,0,0.653846154,806,172104,0.004683,0.995317,166,174,F,5/7/97,7/20/05,2996,26,17,0.653846154,0.25,0.5,0.25,0,0,0,0,0.25,1,0,0,0.25,0.1686
51,5511344025_R02C01,72,MB,5511344025,R02C01,WG0041091-MSA3,F02,WOLF,M,1,5511344027_R05C02,0,0,0,0,1,760,172114,0.004416,0.995584,12,23,M,5/1/89,5/15/00,4032,3,3,1,0.1875,0.5,0.375,0,0,0,0,0.125,1,0,0,0.1875,0.156
52,5511344025_R02C02,658,0,5511344025,R02C02,WG0041091-MSA3,D03,WOLF,F,2,0,5511344025_R04C01,5500696010_R03C01,105,569,0.666666667,779,172104,0.004526,0.995474,105,569,F,5/29/00,11/1/07,2712,6,4,0.666666667,0.117188,0.375,0.2032,0,0,0.0625,0.1875,0.1719,0.7501,0,0.25,0.1172,0.1623
53,5511344025_R03C01,431,GR,5511344025,R03C01,WG0041091-MSA3,G02,WOLF,F,2,0,0,0,0,0,0,764,172104,0.004439,0.995561,403,405,F,5/1/91,5/22/02,4039,3,0,0,0.609375,0,0,0,0,0.25,0.75,0,0,0,1,0.6094,0.1272
54,5511344025_R03C02,60,MB,5511344025,R03C02,WG0041091-MSA3,E03,WOLF,M,1,0,0,0,0,0,0.85,824,172114,0.004788,0.995212,2,13,M,4/30/88,12/11/02,5338,20,17,0.85,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1682
55,5511344025_R04C01,105,MB,5511344025,R04C01,WG0041091-MSA3,H02,WOLF,M,1,0,5511344025_R03C02,5511344025_R01C01,60,37,0.214285714,1055,172114,0.00613,0.99387,60,37,M,5/7/92,5/12/08,5849,14,3,0.214285714,0.1875,0.5,0.25,0,0,0,0,0.25,1,0,0,0.1875,0.1672
56,5511344025_R04C02,593,0,5511344025,R04C02,WG0041091-MSA3,F03,WOLF,M,1,5500696010_R04C01,5511344029_R06C02,5511344027_R04C01,484,518,1,2777,172114,0.01613,0.98387,484,518,M,5/1/99,6/28/03,1519,5,5,1,0.101562,0.375,0.2188,0,0,0.0625,0.1875,0.1563,0.7501,0,0.25,0.1016,0.164
57,5511344025_R05C01,194,MB,5511344025,R05C01,WG0041091-MSA3,A03,WOLF,M,1,0,0,0,0,0,0.857142857,861,172114,0.005002,0.994998,118,107,M,5/4/95,12/21/03,3153,7,6,0.857142857,0.25,0.5,0.25,0,0,0,0,0.25,1,0,0,0.25,0.1743
58,5511344025_R05C02,84,MB,5511344025,R05C02,WG0041091-MSA3,G03,WOLF,F,2,0,0,0,0,0,0.684210526,749,172104,0.004352,0.995648,12,23,F,4/10/90,7/24/01,4123,19,13,0.684210526,0.1875,0.5,0.375,0,0,0,0,0.125,1,0,0,0.1875,0.1608
59,5511344025_R06C01,29,MB,5511344025,R06C01,WG0041091-MSA3,B03,WOLF,F,2,5511344027_R06C02,0,0,0,0,0.363636364,855,172104,0.004968,0.995032,8,15,F,4/27/83,10/29/97,5299,11,4,0.363636364,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1225
60,5511344025_R06C02,412,GR,5511344025,R06C02,WG0041091-MSA3,H03,WOLF,M,1,5511344027_R04C02,0,0,0,0,0.333333333,1069,172114,0.006211,0.993789,373,392,M,4/27/88,7/26/01,4838,3,1,0.333333333,0.5,0,0,0,0,0.25,0.75,0,0,0,1,0.5,0.1282
61,5511344026_R01C01,30,MB,5511344026,R01C01,WG0041091-MSA3,A04,WOLF,M,1,0,0,0,0,0,-9,917,172114,0.005328,0.994672,2,5,M,5/26/83,9/30/96,4876,0,0,0,0.25,0.75,0,0,0,0,0,0.25,1,0,0,0.25,0.1542
62,5511344026_R01C02,66,MB,5511344026,R01C02,WG0041091-MSA3,G04,WOLF,M,1,5500696014_R06C02,0,0,0,0,-9,19193,172114,0.1115,0.8885,2,13,M,5/1/89,3/11/04,5428,11,11,1,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.1618
63,5511344026_R02C01,47,MB,5511344026,R02C01,WG0041091-MSA3,B04,WOLF,M,1,0,0,0,0,0,1,906,172114,0.005264,0.994736,2,13,M,4/20/86,12/11/96,3888,10,10,1,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.16
64,5511344026_R02C02,76,MB,5511344026,R02C02,WG0041091-MSA3,H04,WOLF,M,1,0,0,0,0,0,0.222222222,916,172114,0.005322,0.994678,12,23,M,4/10/90,5/21/03,4789,18,4,0.222222222,0.1875,0.5,0.375,0,0,0,0,0.125,1,0,0,0.1875,0.156
65,5511344026_R03C01,426,GR,5511344026,R03C01,WG0041091-MSA3,C04,WOLF,F,2,0,5511344026_R04C01,0,411,0,0.75,969,172104,0.00563,0.99437,411,415,F,5/17/92,5/22/02,3657,12,9,0.75,0.609375,0,0,0,0,0.25,0.75,0,0,0,1,0.6094,0.1355
66,5511344026_R03C02,284,AR,5511344026,R03C02,WG0041091-MSA3,A05,WOLF,M,1,0,5511344029_R04C02,0,258,0,-9,1070,172114,0.006217,0.993783,258,265,M,3/26/93,6/6/00,2629,0,0,0,0.3125,0,0,0.6875,0.3125,0,0,0,0,1,0,0.3125,0.058
67,5511344026_R04C01,411,GR,5511344026,R04C01,WG0041091-MSA3,D04,WOLF,M,1,0,0,0,0,0,0.909090909,2300,172114,0.01336,0.98664,373,392,M,4/27/88,2/16/01,4678,11,10,0.909090909,0.5,0,0,0,0,0.25,0.75,0,0,0,1,0.5,0.1331
68,5511344026_R04C02,418,GR,5511344026,R04C02,WG0041091-MSA3,B05,WOLF,M,1,0,0,0,0,0,-9,23749,172114,0.138,0.862,398,401,M,4/27/85,1/20/96,3920,0,0,0,0.609375,0,0,0,0,0.25,0.75,0,0,0,1,0.6094,0.1274
69,5511344026_R05C01,9,MB,5511344026,R05C01,WG0041091-MSA3,E04,WOLF,M,1,0,0,0,0,0,-9,1100,172114,0.006391,0.993609,WILD1,5,M,5/8/78,10/31/91,4924,0,0,0,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0.1142
70,5511344026_R05C02,420,GR,5511344026,R05C02,WG0041091-MSA3,C05,WOLF,F,2,0,0,0,0,0,-9,993,172104,0.00577,0.99423,398,402,F,4/22/89,11/17/91,939,0,0,0,0.609375,0,0,0,0,0.25,0.75,0,0,0,1,0.6094,0.1281
71,5511344026_R06C01,667,0,5511344026,R06C01,WG0041091-MSA3,F04,WOLF,F,2,0,5511344027_R06C01,0,536,0,1,1041,172104,0.006049,0.993951,536,173,F,4/20/00,3/30/09,3266,13,13,1,0.125,0.375,0.1875,0.1719,0.0782,0,0,0.1875,0.75,0.2501,0,0.125,0.1437
72,5511344026_R06C02,10,MB,5511344026,R06C02,WG0041091-MSA3,D05,WOLF,M,1,5511344027_R03C02,0,0,0,0,0.692307692,1009,172114,0.005862,0.994138,WILD1,5,M,5/8/78,5/16/90,4391,13,9,0.692307692,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0.145
73,5511344027_R01C01,1038,WILD,5511344027,R01C01,WG0041091-MSA3,E05,WOLF,M,1,5500696005_R02C02,5511344026_R06C01,0,667,0,-9,888,172114,0.005159,0.994841,512,667,M,4/15/06,0,2486,3,3,1,0.0820312,0.3125,0.1875,0.086,0.0391,0.0625,0.1875,0.125,0.625,0.1251,0.25,0.082,0.1465
74,5511344027_R01C02,796,MB,5511344027,R01C02,WG0041091-MSA3,C06,WOLF,M,1,0,5511344025_R05C01,0,194,0,0.75,901,172114,0.005235,0.994765,194,487,M,4/15/02,2/20/07,1772,4,3,0.75,0.28125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.2813,0.1749
75,5511344027_R02C01,170,MB,5511344027,R02C01,WG0041091-MSA3,F05,WOLF,M,1,0,5511344025_R03C02,5511344025_R01C01,60,37,-9,4148,172114,0.0241,0.9759,60,37,M,4/27/94,6/4/94,38,0,0,0,0.1875,0.5,0.25,0,0,0,0,0.25,1,0,0,0.1875,0.1655
76,5511344027_R02C02,44,MB,5511344027,R02C02,WG0041091-MSA3,D06,WOLF,M,1,0,0,0,0,0,-9,1043,172114,0.00606,0.99394,2,13,M,5/10/85,12/24/93,3150,0,0,0,0.125,0.5,0.25,0,0,0,0,0.25,1,0,0,0.125,0.154
77,5511344027_R03C01,521,0,5511344027,R03C01,WG0041091-MSA3,G05,WOLF,F,2,0,5511344026_R03C01,0,426,0,0.954545455,761,172104,0.004422,0.995578,141,426,F,5/3/97,12/1/10,4960,22,21,0.954545455,0,0.25,0.1563,0,0,0.125,0.375,0.0938,0.5001,0,0.5,0,0.1546
78,5511344027_R03C02,10,MB,5511344027,R03C02,WG0041091-MSA3,E06,WOLF,M,1,5511344026_R06C02,0,0,0,0,-9,979,172114,0.005688,0.994312,WILD1,5,M,5/8/78,5/16/90,4391,13,9,0.692307692,0,0.5,0,0,0,0,0,0.5,1,0,0,0,0.145
79,5511344027_R04C01,518,0,5511344027,R04C01,WG0041091-MSA3,H05,WOLF,F,2,0,5511344026_R04C01,5511344025_R05C02,411,84,0.625,768,172104,0.004462,0.995538,411,84,F,4/27/97,6/7/10,4789,32,20,0.625,0,0.25,0.1875,0,0,0.125,0.375,0.0625,0.5,0,0.5,0,0.1502
80,5511344027_R04C02,412,GR,5511344027,R04C02,WG0041091-MSA3,F06,WOLF,M,1,5511344025_R06C02,0,0,0,0,-9,1147,172114,0.006664,0.993336,373,392,M,4/27/88,7/26/01,4838,3,1,0.333333333,0.5,0,0,0,0,0.25,0.75,0,0,0,1,0.5,0.1282
81,5511344027_R05C01,171,MB,5511344027,R05C01,WG0041091-MSA3,A06,WOLF,M,1,0,5511344025_R03C02,5511344025_R01C01,60,37,-9,1335,172114,0.007756,0.992244,60,37,M,4/27/94,6/4/94,38,0,0,0,0.1875,0.5,0.25,0,0,0,0,0.25,1,0,0,0.1875,0.1655
82,5511344027_R05C02,72,MB,5511344027,R05C02,WG0041091-MSA3,G06,WOLF,M,1,5511344025_R02C01,0,0,0,0,-9,935,172114,0.005432,0.994568,12,23,M,5/1/89,5/15/00,4032,3,3,1,0.1875,0.5,0.375,0,0,0,0,0.125,1,0,0,0.1875,0.156
